Price,Close,High,Low,Open,Volume,rsi,macd,bb_high,bb_low,bb_width,return,target
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,,,,,,,
Date,,,,,,,,,,,,
2019-11-08,1907.78564453125,1961.5061256769322,1904.6768038545763,1952.2251446133077,1537851,50.63430820638884,-10.12672641536382,2037.9049442891414,1837.9761103983587,10.316561889792169,-0.00242037344403645,0
2019-11-11,1903.1680908203125,1920.26716051084,1891.0066439957043,1903.1223266152526,1050170,49.65493588740901,-13.833878046607353,2028.8381621098756,1855.0040864252805,8.951654807821246,0.004636337962637294,1
2019-11-13,1911.9918212890625,1915.5578573412272,1895.0298214593697,1905.5910834846516,868433,51.58216467538803,-15.331081918735201,2018.4758313396478,1873.3367419025399,7.458688552218516,-0.010497389490939701,0
2019-11-14,1891.9208984375,1911.6260707523843,1884.9714369712733,1911.6260707523843,1291198,47.15985986461444,-17.173694083134976,2016.7675358366887,1876.446306936749,7.208503543179541,-0.005485651105879397,0
2019-11-15,1881.54248046875,1919.3068767167526,1875.0046735434462,1885.7030045303113,958290,45.010961389681555,-18.478513358170716,2017.0788208622748,1875.8980712275688,7.253099802445361,-0.0007289019382628048,0
2019-11-18,1880.1710205078125,1897.681744811585,1863.5291463804863,1883.4629179132285,1200573,44.720965911326594,-18.76093439849963,2019.890670184157,1869.7238805970928,7.7214226564893105,-0.008972845137183882,0
2019-11-19,1863.300537109375,1883.6915040871743,1856.2140058064194,1883.6915040871743,1413218,41.20419970333307,-19.334082557642127,2024.4739171419897,1859.8183191861353,8.478023173225788,-0.005520710673985407,0
2019-11-20,1853.0137939453125,1877.1080917142922,1844.3728416267365,1869.015640179728,989673,39.18098166384034,-19.595182262980174,2029.0852243286245,1846.9912649291882,9.395787720087197,0.010929987696221,1
2019-11-21,1873.2672119140625,1883.5998758497294,1844.3268232937328,1853.470734167772,1397175,44.915963833950684,-17.653345644669923,2029.2339456263774,1839.106789236904,9.829907416167313,-0.009908962090942719,0
2019-11-22,1854.705078125,1877.427673567242,1836.0972424392205,1874.5016668328697,835864,41.091593780642675,-16.869427788278617,2030.1323853455792,1828.6072386778583,10.44512801087078,0.01678697495495518,1
2019-11-25,1885.8399658203125,1890.0004896434375,1848.9900743840553,1848.9900743840553,862520,48.94411443037644,-13.642368600545458,2026.9244937379995,1824.2531063596566,10.525164426236984,-0.001963647534847568,0
2019-11-26,1882.1368408203125,1902.619110323423,1858.316910158172,1882.731105685896,3188224,48.122467096693704,-11.245350397581154,2023.8436585463578,1819.8908019028609,10.612224061891148,0.016955254624893,1
2019-11-27,1914.0489501953125,1920.129561015786,1879.8508162798882,1885.9771912981073,1259986,55.11532750679866,-7.195729976000035,2017.8194922289422,1819.7930810132452,10.320291975090926,-0.002914115017013219,0
2019-11-28,1908.47119140625,1918.7125497619802,1890.0463010380438,1918.3466593978455,1026831,53.751513511727154,-4.698693573095702,2009.5271399903243,1820.564608056551,9.86725876893854,-0.024842403152678938,0
2019-11-29,1861.0601806640625,1906.0481764484252,1857.128254433558,1905.590980915576,1298616,43.82477441047795,-5.964676665387804,1999.4623865093538,1817.823306850021,9.516661536510913,0.0038813955707817094,1
2019-12-02,1868.28369140625,1885.4742872669644,1855.5279812980057,1863.5289027400938,1600494,45.47692652928876,-6.022640320251826,1986.1032398729462,1818.7329539747102,8.797765652506692,-0.007218957489653732,0
2019-12-03,1854.796630859375,1877.3365060103467,1847.2072515020602,1866.272284113762,1199012,42.93772095194433,-6.628375704845497,1975.915148918963,1817.061413581037,8.376204425224474,0.009637833283556496,1
2019-12-04,1872.6728515625,1876.330415725708,1848.898684501648,1853.470639705658,1046309,47.14979967248098,-5.529051399695755,1959.2501367889424,1822.3742650665265,7.238998757002797,-0.00515138059372644,0
2019-12-05,1863.0260009765625,1872.4900376441378,1853.745021111068,1872.4900376441378,961085,45.2103446547998,-5.162513394336493,1935.1767839284269,1833.4632185129792,5.397892361677179,-0.005595106090594548,0
2019-12-06,1852.6021728515625,1873.587404402207,1848.898844168503,1869.015448803373,657658,43.14516259990871,-5.312304652259314,1920.1493216867975,1838.2311836842964,4.3592253570617485,-0.00883509701204832,0
2019-12-09,1836.2342529296875,1858.0882194866742,1820.7352589807404,1856.21367334589,964222,40.05138562058388,-6.145099019311897,1918.4140103406269,1832.8113558703105,4.5639835580863775,0.00856517141411528,1
2019-12-10,1851.9619140625,1866.8207688116943,1838.8404246541352,1842.4065721179422,1610623,44.19238966902607,-5.300059120878231,1915.0731377555016,1831.0316107796548,4.486875440880809,-0.007356667259014293,0
2019-12-11,1838.337646484375,1856.2140381500321,1826.9535212924948,1854.293839055259,967708,41.517005043744064,-5.308775209773819,1909.980766812471,1828.7585642422166,4.344897858783962,-0.001542000079417405,0
2019-12-12,1835.5029296875,1860.328670071188,1830.6109596866643,1837.9260883967008,955318,40.96136396437294,-5.151488402683235,1908.3232953785932,1824.7742388010943,4.476125030891167,-0.0005729414675281763,0
2019-12-13,1834.4512939453125,1850.7274994082675,1828.78211403979,1845.6525843938061,1212988,40.743509178351864,-4.772866079314502,1907.5995378919017,1820.7888776354418,4.656739083027183,-0.01567638696883944,0
2019-12-16,1805.6937255859375,1838.840401141066,1799.6587669812798,1828.7820995933027,1683941,35.226170600761236,-6.032612516430849,1910.0885209654325,1810.852165069724,5.33393914437533,-0.006785583498053693,0
